,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
126233,126233,France,"Almost pure Merlot (95%), this wine is richly endowed with generous fruitiness as well as firm tannins. It's a young wine—all fruit and structure at the moment—and it needs to fill out. When it does, it is going to be a ripe generous wine. Drink from 2019.",,88,25.0,Bordeaux,Puisseguin Saint-Émilion,,Château Lanbersac 2014  Puisseguin Saint-Émilion,Bordeaux-style Red Blend,Château Lanbersac
27624,27624,Canada,"Vidal has a peculiar bouquet that I have a hard time describing. This one boasts muskmelon, litchi and kumquat aromas, backed by a honeyed sweetness and grapefruit-like acids. Intense—verging on overblown—this is a fine example of what this French-American hybrid is capable of producing.",Special Select Late Harvest,87,25.0,Ontario,Niagara Peninsula,,Henry of Pelham 1999 Special Select Late Harvest Vidal Blanc (Niagara Peninsula),Vidal Blanc,Henry of Pelham
122970,122970,US,"Along with the Cabernet Sauvignon, this Bordeaux-style blend includes small percentages of each of the other five grapes. It's a stylish blend, opening with a precisely-defined toasty aroma, leading into a complex palate built upon red and black fruits, sleek tannins and a hint of caramel.",,91,36.0,Washington,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners
60148,60148,US,"Crispness provides the balance needed for this Chardonnay. It gives a tartness to the fairly sweet, candied flavors of pineapples and butterscotch.",Reserve,84,45.0,California,Los Carneros,Napa-Sonoma,Bennett Lane 2006 Reserve Chardonnay (Los Carneros),Chardonnay,Bennett Lane
6523,6523,Spain,"Stewy yet flush, with shearing acids, this has a meaty, leafy aroma that sets up the angular palate. Flavors of stewed berry, spiced tomato and burnt leaves turn slightly bitter on what amounts to a short finish.",Crianza,83,15.0,Central Spain,La Mancha,,Gladium 2009 Crianza Tempranillo (La Mancha),Tempranillo,Gladium
88720,88720,Spain,"The nose on this Syrah is ripe, with plum and raisiny aromas. It's lively in the mouth, albeit raw feeling, with red berry, plum and currant flavors. A short, mildly oaky finish closes the show.",,87,15.0,Levante,Valencia,,Fedriani Laffitte 2010 Syrah (Valencia),Syrah,Fedriani Laffitte
100564,100564,Italy,"Stalky underbrush, crushed violet and woodland berry aromas lead the way. The brisk palate offers tart cherry, clove, a hint of chopped herb and an orange zest note alongside racy acidity. Tightly knit tannins leave a firm finish.",,87,27.0,Tuscany,Rosso di Montalcino,,Fattoi 2014  Rosso di Montalcino,Sangiovese,Fattoi
117860,117860,US,"With this new line, Gallo once again strives to redefine itself, with positive results. Bearing Gina Gallo's signature, it's a fine Cabernet, soft, dry and complex, with flavors of blackberry, black currant and cedar. The structure is all about Napa Valley, showing ripe, smooth tannins and a good bite of acidity. Really a superior Cab, one to drink now and over the next six years.",,93,40.0,California,Napa Valley,Napa,Gallo Signature Series 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Gallo Signature Series
2325,2325,US,"Lemon and herb aromas suggest a lean, crisp wine but the flavors are fairly ripe and the texture is rich and soft. Appley, floral and not at all tart, this is pleasant to sip.",Authentic,85,12.0,California,California,California Other,Gnarly Head 2013 Authentic White (California),White Blend,Gnarly Head
66589,66589,US,"Enviable structure marks this lovely wine that appears to have been made in a slightly reductive style. Light oak, a bouquet of dried herb and vanilla ride along a medium-bodied texture that's soft and silky, with a panache of juicy blackberry and currant on the finish.",Estate Grown Cave Fermented,91,95.0,California,Napa Valley,Napa,Jarvis 2012 Estate Grown Cave Fermented Merlot (Napa Valley),Merlot,Jarvis
110370,110370,US,"Aromas of butterscotch, spice and red fruit are followed by fleshy fruit flavors. The palate shows a pleasing sense of balance, though the tannins bring a slight grit.",Vineyard Series,89,28.0,Washington,Wahluke Slope,Columbia Valley,Milbrandt 2012 Vineyard Series Tempranillo (Wahluke Slope),Tempranillo,Milbrandt
25215,25215,Italy,"Dense, lush and bold, this wine shows red cherry, blackberry, rum cake, cinnamon spice and dark chocolate. The wine's concentration is particularly attractive and adds momentum to the already long finish. Easy, soft and almost ready to drink now.",Bramante Cosimi,92,45.0,Tuscany,Brunello di Montalcino,,Il Poggiolo E. Cosimi 2007 Bramante Cosimi  (Brunello di Montalcino),Sangiovese Grosso,Il Poggiolo E. Cosimi
78535,78535,US,"Maduro cigar and cherry brandy aromas power the nose on this heavily extracted, single-vineyard Sangiovese that Dave Corey makes under his Turchi label. Nothing like Chianti, aside from the decent tannins and acidity, this is all prune and plum soda on the palate. Serve with herb-crusted steak.",Hallauer Vineyard,89,29.0,California,Santa Ynez Valley,Central Coast,Turchi 2010 Hallauer Vineyard Sangiovese (Santa Ynez Valley),Sangiovese,Turchi
57901,57901,US,"This is a rich, delicious Pinot Noir. It spreads a fantail of raspberry and cherry jam sweetness across the palate, and then the acidity kicks in, providing fortunate balance. With a silky texture, it's a lovely wine to drink now.",Reserve,89,37.0,California,Russian River Valley,Sonoma,MacMurray Ranch 2010 Reserve Pinot Noir (Russian River Valley),Pinot Noir,MacMurray Ranch
19123,19123,France,"Heavy and waxy, with overdone varietal aromas that seem oily. Lots of pepper and cumin, but what about the fruit and acidity? Nowhere to be found.",Vin de Pays de l'Ardeche,80,10.0,France Other,France,,Georges Duboeuf 2001 Vin de Pays de l'Ardeche Viognier (France),Viognier,Georges Duboeuf
68145,68145,US,"A vineyard along the Silverado Trail in Napa, not far from the winery, Grande was planted in 1920 and is still farmed by the original farmer's family, Dorothy and Tony Rossi. Here, it offers structure and elegance despite a brooding weight and power, the flavors leaning toward blackberry and licorice.",Grande Vineyard,94,50.0,California,Napa Valley,Napa,Robert Biale 2013 Grande Vineyard Zinfandel (Napa Valley),Zinfandel,Robert Biale
38697,38697,US,"Complex and generous on the palate, this vineyard-designated varietal is surprisingly light and bright in spirit, ethereal even, offering aromas of black pepper, violets and gunpowder, hard to figure out but inviting nonetheless. On the palate, juicy plum and dark cherry provide an exuberant edge.",Rossi Ranch,92,38.0,California,Sonoma Valley,Sonoma,Carlisle 2013 Rossi Ranch Grenache (Sonoma Valley),Grenache,Carlisle
20226,20226,US,"Soft, rounded waves of red plum become succulent on the palate without overwhelming, despite a full-bodied style and personality. A heave of subtle tannin plays out to add body and weight as the wine develops in the glass.",Behler Vineyard,90,45.0,California,Sonoma Valley,Sonoma,St. Francis 2013 Behler Vineyard Merlot (Sonoma Valley),Merlot,St. Francis
79954,79954,Italy,This opulent Soave Classico is made from native Garganega grapes that see a bit of oak aging to acquire subtle tones of roasted almond and smoky mineral. Cool acidity caps the close and promises to match spicy chicken curry.,Monte Alto,87,39.0,Veneto,Soave Classico,,Ca' Rugate 2008 Monte Alto  (Soave Classico),Garganega,Ca' Rugate
42862,42862,US,"A lot of good things are going on in this barrel fermented, unapologetically oaky wine with notes of butter, pumpkin spices and almond complemented by a creamy, rich feel. Still, the alcohol gets a bit too far out front and provides a distracting sense of heat throughout.",,87,20.0,Oregon,Rogue Valley,Southern Oregon,J. Scott Cellars 2012 Chardonnay (Rogue Valley),Chardonnay,J. Scott Cellars
80170,80170,US,"Quite reserved in aroma, this bottling from Duckhorn made with fruit from a Dierberg-owned site shows light cranberry and chaparral scents on the nose. The palate is straight-forward with tangy cranberry and cedar flavors.",Drum Canyon,88,68.0,California,Sta. Rita Hills,Central Coast,Migration 2014 Drum Canyon Pinot Noir (Sta. Rita Hills),Pinot Noir,Migration
91742,91742,US,"Pleasant but then rather persistent oak aromas occupy the nose on this wine, with lemon rinds and lime juice hiding beneath. The palate is also quite reliant on the oak, offering smoked vanilla beans, pear juice and a touch of citrus peel bitterness, but it's really a very plush white wine.",Fletcher's,86,30.0,California,Happy Canyon of Santa Barbara,Central Coast,Westerly 2013 Fletcher's White (Happy Canyon of Santa Barbara),Bordeaux-style White Blend,Westerly
578,578,France,"A ripe perfumed wine with fine tannins as well as dense fruit. Blackberry flavors are up there along with the acidity and crisp aftertaste. It's a wine with a good future, ready to drink from 2018.",Château Jean de Bel Air,89,15.0,Bordeaux,Bordeaux,,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),Bordeaux-style Red Blend,Château Maison Noble Saint Martin
76427,76427,France,"While this wine is still young, it has great fruit and a good structure. Tense tannins lend form to ripe red fruits, with a touch of cigar-box aromas and a rich texture. This wine will show how well Chinon can age. Drink from 2018.",Gabare,90,30.0,Loire Valley,Chinon,,Domaine Grosbois 2015 Gabare  (Chinon),Cabernet Franc,Domaine Grosbois
107855,107855,Italy,"Alpine herb, crushed stone, wild berry, pressed rose and a whiff of tar are some of the aromas you'll find on this wonderfully fragrant Nebbiolo. The racy elegant palate delivers succulent sour cherry, star anise, wild mint and a balsamic note while assertive but refined tannins and vibrant acidity provide ageworthy support. A vein of flinty mineral closes the finish. Drink 2018–2028.",Sassella Stella Retica Riserva,93,50.0,Lombardy,Valtellina Superiore,,Arpepe 2011 Sassella Stella Retica Riserva  (Valtellina Superiore),Nebbiolo,Arpepe
71891,71891,US,"Those who buy Riesling for its intense aromas will be disappointed with the subdued nose on this example from the Finger Lakes. Nonetheless, the palate delivers attractive stone fruit flavors of peach and apricot and the truly crisp, dry finish makes for a refreshing package.",Dry,85,13.0,New York,Finger Lakes,Finger Lakes,Lakewood 2007 Dry Riesling (Finger Lakes),Riesling,Lakewood
34411,34411,Argentina,"This single-vineyard Malbec proves once again that Achaval-Ferrer does not specialize in textbook wines. It's a terroir-driven hard-body with tight blueberry and cherry aromas and flavors. There's a lot of zest, drive and crispness to the palate, and the finish is tight, layered and long. Drinkable now through 2018.",Finca Mirador,91,120.0,Mendoza Province,Mendoza,,Achaval-Ferrer 2008 Finca Mirador Malbec (Mendoza),Malbec,Achaval-Ferrer
117156,117156,US,"A relatively soft entry, tart plum fruit, simple berry flavors and a hint of burnt toast. There is a slight burn also in the finish, that reflects the near-15% alcohol. A little chocolaty film wraps the tannins.",,85,26.0,Washington,Columbia Valley (WA),Columbia Valley,Locati Cellars 2006 Barbera (Columbia Valley (WA)),Barbera,Locati Cellars
1868,1868,US,"Quilceda's single-vineyard Bordeaux-style blend is 76% Cabernet Sauvignon, 14% Cabernet Franc, 7% Merlot and 3% Petit Verdot, from a vineyard just across the road from Champoux. Dusty and fragrant, it suggests soft leather, toast, caramel and coconut, hiding its fruit at first in a wash of luxurious barrel flavors. That fruit emerges with some hours of decanting, a tart and racy mix of berry and sweet tomato.",Palengat Red Wine,93,85.0,Washington,Horse Heaven Hills,Columbia Valley,Quilceda Creek 2008 Palengat Red Wine Red (Horse Heaven Hills),Red Blend,Quilceda Creek
81012,81012,US,"The winery pulled out all the stops on this Cabernet-based Bordeaux blend, yet the wine is so tannic and sharp now. Shows massively extracted black currant and oak flavors that run deep and long in the finish. Who knows what this wine might do in 10–15 years, but it's a roll of the dice.",Paradiso,91,75.0,California,Napa Valley,Napa,V. Sattui 2009 Paradiso Red (Napa Valley),Bordeaux-style Red Blend,V. Sattui
1188,1188,France,"From vines in the northern part of the appellation, this ripe wine conveys peaches and apricots laced with lime. A vibrant, mineral wine with swathes of fresh acidity, it can be drunk now.",,88,28.0,Burgundy,Saint-Véran,,Château de Fuissé 2014  Saint-Véran,Chardonnay,Château de Fuissé
40904,40904,Italy,"Sweet floral notes open the way for soft flavors of peach, apricot cream and honey. This Prosecco sparkler offers foamy, creamy peach flavors backed by well-balanced levels of sweetness and acidity and impressive complexity. This is one of the best Proseccos on the market today.",Cartizze Dry,90,30.0,Veneto,Prosecco Superiore di Cartizze,,Bortolomiol 2008 Cartizze Dry  (Prosecco Superiore di Cartizze),Prosecco,Bortolomiol
